description,category,priority
"The study table in hostel room 5C has a loose leg.",Carpentry,Low
"The system in computer lab 8 is freezing randomly.",IT,High
"The ceiling light near reception is flickering.",Electrical,Medium
"The pipe under sink in mess area is cracked.",Plumbing,High
"The shelf in classroom 303 is leaning forward.",Carpentry,Low
"The Wi-Fi router on the 2nd floor is not visible in list.",IT,High
"The electric socket in hostel room 4B is dead.",Electrical,Medium
"The drain near washroom 2A is clogged.",Plumbing,Medium
"The drawer in staff cabin 103 is jammed.",Carpentry,Low
"The internet in seminar hall is down.",IT,High
"The main light switch in corridor D stopped working.",Electrical,Medium
"The faucet near garden area is broken.",Plumbing,Medium
"The bookshelf near admin area is unstable.",Carpentry,Low
"The computer in lab 11 reboots automatically.",IT,Medium
"The power socket near classroom 209 sparks.",Electrical,High
"The shower in washroom 1C has low pressure.",Plumbing,Low
"The cupboard door in room 405 doesn’t close fully.",Carpentry,Medium
"The system in computer lab 7 shows network error.",IT,Medium
"The corridor bulb in block C went out.",Electrical,Low
"The main water valve in basement is leaking.",Plumbing,High
"The desk in library has uneven surface.",Carpentry,Low
"The switch in exam control room is burnt.",Electrical,High
"The washroom in floor 3 has blocked drain.",Plumbing,High
"The chair in reading area is wobbly.",Carpentry,Low
"The LAN switch in admin block is malfunctioning.",IT,High
"The light fixture near lift is not turning on.",Electrical,Medium
"The water pipe near lab 9 is dripping slightly.",Plumbing,Medium
"The window frame in staff office is cracked.",Carpentry,Low
"The internet speed in admin block is inconsistent.",IT,Medium
"The AC socket in meeting room is sparking.",Electrical,High
"The tap in ground floor bathroom is leaking.",Plumbing,Medium
"The wooden rack in pantry area is unstable.",Carpentry,Low
"The system in server room overheats frequently.",IT,High
"The power switch in library corridor is not responding.",Electrical,Medium
"The water outlet near parking area is broken.",Plumbing,Low
"The classroom table drawer is jammed.",Carpentry,Low
"The Wi-Fi connection in seminar hall drops often.",IT,Medium
"The ceiling fan in block A rotates unevenly.",Electrical,Low
"The sink pipe in hostel washroom 2A is cracked.",Plumbing,Medium
"The cupboard top in staff lounge is broken.",Carpentry,Low
"The network cable behind router is loose.",IT,Medium
"The switchboard near lab 10 is tripping power.",Electrical,High
"The water flow from tap in lab washroom is irregular.",Plumbing,Medium
"The shelf in faculty room is broken.",Carpentry,Low
"The desktop in accounts office shuts down randomly.",IT,High
"The tube light in corridor 5C is fused.",Electrical,Low
"The toilet in hostel washroom 4B is clogged.",Plumbing,High
"The desk drawer in library section 2 is jammed.",Carpentry,Low
"The network printer in staff area is offline.",IT,Medium
"The light switch near classroom 107 isn’t functioning.",Electrical,Medium
"The washroom pipe near stairwell is leaking.",Plumbing,High
"The chair armrest in office room 203 is broken.",Carpentry,Low
"The LAN connection in IT lab 6 keeps dropping.",IT,Medium
"The electric socket near corridor 1A is burnt.",Electrical,High
"The drain near lab 2 washroom is blocked.",Plumbing,High
"The table in classroom 302 is unstable.",Carpentry,Low
"The Wi-Fi router near reading area is not working.",IT,High
"The power switch in lab 3 isn’t turning on.",Electrical,Medium
"The water tap in block F bathroom is dripping.",Plumbing,Medium
"The wooden door in hostel corridor is swollen.",Carpentry,Medium
"The server in IT department keeps freezing.",IT,High
"The fan near corridor B is making noise.",Electrical,Medium
"The wash basin in canteen is clogged.",Plumbing,High
"The shelf in reading room has come loose.",Carpentry,Low
"The internet in lab 9 disconnects often.",IT,Medium
"The switch near conference room sparks.",Electrical,High
"The tap in mess area is leaking heavily.",Plumbing,High
"The chair in staff room 104 is unstable.",Carpentry,Low
"The system in classroom 201 doesn’t connect to Wi-Fi.",IT,Medium
"The power socket in block C overheats.",Electrical,High
"The water pipe near corridor 4A is leaking.",Plumbing,Medium
"The cupboard in lab 5 has broken handles.",Carpentry,Low
"The router in admin section is not reachable.",IT,High
"The fan in corridor A stopped working suddenly.",Electrical,Medium
"The toilet flush in hostel washroom 3B is jammed.",Plumbing,Medium
"The table drawer in office 301 is stuck.",Carpentry,Low
"The network in lab 8 is unstable.",IT,Medium
"The main switchboard in lab 4 is sparking occasionally.",Electrical,High
"The pipe joint in washroom 1A is dripping constantly.",Plumbing,Medium
"The classroom door near block B squeaks and won’t close.",Carpentry,Low
"The system in IT lab 3 doesn’t detect external drives.",IT,Medium
"The light in corridor F flickers every few seconds.",Electrical,Low
"The toilet tank in the ground floor washroom is overflowing.",Plumbing,High
"The desk in library corner 3 is uneven.",Carpentry,Low
"The Wi-Fi signal in classroom 204 keeps disconnecting.",IT,Medium
"The power plug near notice board is burnt.",Electrical,High
"The sink in hostel washroom 5C is blocked.",Plumbing,High
"The wooden shelf in lab storage is coming apart.",Carpentry,Low
"The computer in IT lab 10 displays a blue screen.",IT,High
"The ceiling light in corridor D went off suddenly.",Electrical,Medium
"The tap in staff bathroom leaks even when closed.",Plumbing,Medium
"The chair leg in classroom 401 is broken.",Carpentry,Low
"The Wi-Fi router near admin cabin isn’t connecting.",IT,Medium
"The switch near auditorium entrance is malfunctioning.",Electrical,Medium
"The main pipeline in mess area is leaking water.",Plumbing,High
"The cupboard hinge in lab 9 is coming loose.",Carpentry,Low
"The desktop in staff office is freezing often.",IT,Medium
"The bulb near block A entrance has fused.",Electrical,Low
"The faucet in the pantry area is leaking heavily.",Plumbing,High
"The notice board frame is cracked at one corner.",Carpentry,Low
"The network printer in accounts section is not working.",IT,High
"The switchboard near lab 6 is burnt.",Electrical,High
"The water tap in hostel washroom 2C has low pressure.",Plumbing,Medium
"The wooden chair in room 104 is damaged.",Carpentry,Low
"The desktop in lab 12 is not turning on.",IT,High
"The ceiling fan in classroom 210 makes noise.",Electrical,Medium
"The drain pipe under kitchen sink is blocked.",Plumbing,High
"The cupboard shelf in staff room has come loose.",Carpentry,Low
"The internet connection in lab 2 is dropping frequently.",IT,Medium
"The socket near corridor 5D is sparking.",Electrical,High
"The shower in hostel bathroom is leaking.",Plumbing,Medium
"The bench in reading area has a loose plank.",Carpentry,Low
"The Wi-Fi connection in seminar hall is unstable.",IT,Medium
"The tube light in lab 9 is flickering.",Electrical,Low
"The wash basin in pantry area is clogged.",Plumbing,High
"The classroom desk near window is cracked.",Carpentry,Low
"The computer in lab 7 restarts on its own.",IT,Medium
"The light switch near corridor E doesn’t work.",Electrical,Medium
"The pipe behind the washroom mirror is leaking.",Plumbing,Medium
"The wooden rack in storage room is unstable.",Carpentry,Low
"The LAN cable in office room 104 is damaged.",IT,Medium
"The fan in classroom 108 rotates slowly.",Electrical,Low
"The tap in hostel washroom 1B drips continuously.",Plumbing,Medium
"The table drawer in library is jammed.",Carpentry,Low
"The server in IT department keeps shutting down.",IT,High
"The corridor light in block A flickers randomly.",Electrical,Medium
"The kitchen drain pipe is clogged.",Plumbing,High
"The classroom cupboard hinge is broken.",Carpentry,Low
"The network printer in lab 5 isn’t connecting.",IT,Medium
"The switch near hostel gate sparks sometimes.",Electrical,High
"The water supply to bathroom 3B is inconsistent.",Plumbing,Medium
"The chair in conference hall has a broken armrest.",Carpentry,Low
"The system in IT lab 11 overheats frequently.",IT,High
"The bulb in staff room corridor is fused.",Electrical,Low
"The toilet flush in washroom 2A is jammed.",Plumbing,Medium
"The cupboard handle in lab 1 is missing.",Carpentry,Low
"The internet in staff lounge disconnects often.",IT,Medium
"The fan regulator in classroom 205 is broken.",Electrical,Low
"The sink tap in mess area is dripping constantly.",Plumbing,Medium
"The desk in room 203 is unstable.",Carpentry,Low
"The Wi-Fi router near canteen stops working often.",IT,Medium
"The main light in seminar hall is flickering.",Electrical,Medium
"The toilet in ground floor washroom is blocked.",Plumbing,High
"The shelf in admin storage room is bent.",Carpentry,Low
"The computer in lab 8 is showing disk errors.",IT,High
"The fan in classroom 401 stopped working.",Electrical,Medium
"The shower knob in bathroom 4A is loose.",Plumbing,Medium
"The door in staff office is not aligned properly.",Carpentry,Low
"The internet in library area is very slow.",IT,Low
"The switchboard near lab 3 is heating up.",Electrical,High
"The drain near hostel block A is clogged.",Plumbing,High
"The table in study area is uneven.",Carpentry,Low
"The network in conference hall is unstable.",IT,Medium
"The light fixture near staircase 2 is not working.",Electrical,Medium
"The faucet in washroom 3C drips slightly.",Plumbing,Low
"The chair in classroom 201 wobbles.",Carpentry,Low
"The LAN cable in lab 9 is unplugged and loose.",IT,Medium
"The power outlet near admin desk sparks.",Electrical,High
"The wash basin pipe in washroom 2C is leaking.",Plumbing,Medium
"The cupboard drawer in office 2B is jammed.",Carpentry,Low
"The desktop in library keeps rebooting.",IT,Medium
"The fan in staff room 4A is noisy.",Electrical,Low
"The water heater in washroom 1C isn’t heating.",Plumbing,Medium
"The window frame in hostel room 104 is cracked.",Carpentry,Low
"The router in corridor 3 keeps restarting.",IT,Medium
"The ceiling light in lab 2 has fused.",Electrical,Low
"The sink pipe near canteen is leaking.",Plumbing,High
"The wooden rack in classroom 4B is loose.",Carpentry,Low
"The server in IT block overheats frequently.",IT,High
"The main switch in block C stopped working.",Electrical,High
"The toilet flush in staff washroom 3A is broken.",Plumbing,Medium
"The classroom cupboard is misaligned.",Carpentry,Low
"The computer in exam cell is not booting.",IT,High
"The fan in auditorium vibrates heavily.",Electrical,Medium
"The kitchen tap has very low pressure.",Plumbing,Low
"The wooden door frame in corridor 5B is cracked.",Carpentry,Medium
"The laptop in IT office isn’t charging.",IT,High
"The light near block D elevator is fused.",Electrical,Low
"The sink in hostel washroom 4C is clogged.",Plumbing,High
"The drawer in staff room 3A doesn’t close properly.",Carpentry,Low
"The system in admin block 2 shows error frequently.",IT,Medium
"The switch near classroom 109 isn’t working.",Electrical,Low
"The toilet pipe in washroom 1B is leaking badly.",Plumbing,High
"The bench in classroom 301 is cracked.",Carpentry,Low
"The network in staff room 2 disconnects randomly.",IT,Medium
"The ceiling fan in classroom 306 is wobbling.",Electrical,Low
"The faucet in washroom 5B is dripping continuously.",Plumbing,Medium
"The cupboard door in lab 3 is off its hinges.",Carpentry,Medium
"The desktop in IT lab 12 keeps freezing.",IT,High
"The corridor light in block E flickers occasionally.",Electrical,Medium
"The toilet flush in ground floor washroom is leaking.",Plumbing,High
"The library table has a broken leg.",Carpentry,Low
"The Wi-Fi in seminar hall disconnects frequently.",IT,Medium
"The power socket in staff room sparks while in use.",Electrical,High
"The sink in hostel washroom 3C is blocked.",Plumbing,High
"The shelf in classroom 207 is coming loose.",Carpentry,Low
"The computer in lab 4 is not connecting to network.",IT,High
"The ceiling light near corridor 1A is fused.",Electrical,Low
"The water tap in pantry is leaking heavily.",Plumbing,Medium
"The classroom chair has a cracked seat.",Carpentry,Low
"The internet connection in IT office is intermittent.",IT,Medium
"The switchboard in auditorium entrance is sparking.",Electrical,High
"The main pipe in kitchen is leaking.",Plumbing,High
"The cupboard in staff lounge has a broken hinge.",Carpentry,Low
"The server in IT block is slow to respond.",IT,High
"The corridor bulb in block C went out.",Electrical,Low
"The toilet in floor 2 washroom has low water pressure.",Plumbing,Medium
"The desk in hostel room 103 is unstable.",Carpentry,Low
"The network printer in lab 6 isn’t responding.",IT,Medium
"The fan in classroom 202 is noisy.",Electrical,Low
"The shower in hostel bathroom 1A is dripping.",Plumbing,Medium
"The shelf in library near entrance is broken.",Carpentry,Low
"The router in corridor D disconnects often.",IT,Medium
"The tube light in staff room is flickering.",Electrical,Low
"The drain pipe in mess area is clogged.",Plumbing,High
"The cupboard handle in lab 5 is loose.",Carpentry,Low
"The desktop in IT lab 9 keeps restarting.",IT,High
"The light switch near classroom 110 isn’t working.",Electrical,Medium
"The faucet in hostel washroom 4B drips.",Plumbing,Medium
"The chair in conference hall has a broken armrest.",Carpentry,Low
"The Wi-Fi in admin area is unstable.",IT,Medium
"The main power switch in corridor A trips frequently.",Electrical,High
"The water outlet near lab 2 is leaking.",Plumbing,Medium
"The wooden rack in staff storage is loose.",Carpentry,Low
"The LAN connection in lab 11 keeps dropping.",IT,Medium
"The fan in classroom 405 rotates slowly.",Electrical,Low
"The tap in washroom 2A drips constantly.",Plumbing,Medium
"The desk drawer in library section 3 is jammed.",Carpentry,Low
"The computer in IT office 2 shuts down randomly.",IT,High
"The corridor light in block F is flickering.",Electrical,Medium
"The kitchen drain pipe is blocked.",Plumbing,High
"The cupboard hinge in classroom 308 is broken.",Carpentry,Low
"The network printer in staff lounge isn’t working.",IT,Medium
"The switch near hostel gate sparks sometimes.",Electrical,High
"The water supply in bathroom 3C is irregular.",Plumbing,Medium
"The chair in study hall has a broken leg.",Carpentry,Low
"The system in IT lab 7 overheats frequently.",IT,High
